SKU,ITEMNAME,ITEMTYPE,VINTAGE,PRICEPERUNIT,TOTALQTY,CATID,DEPID,PACKID,SIZEID,NONTAXABLE,TAX1,NONACTIVE,ITEMLEVEL,CONTROLSKU,KEYWORD
50001,MISC. BASKET ITEMS,0,,1.99,-18,432,46,,,0,1,0,0,,MISC. BASKET ITEMS
50003,VINTURI WINE AERATOR TOWER,0,,29.99,6,429,46,,,0,1,0,0,,VINTURI WINE AERATOR TOWER
50004,MICHAEL PETERS,0,,453.99,0,432,46,,,0,1,1,0,,MICHAEL PETERS
50005,WINE MAP OF ITALY,0,,20,2,429,46,,,0,1,0,0,,WINE MAP OF ITALY
50009,VINTURI AERATOR/TOWER SET RED ,0,,54.99,0,429,46,,,0,1,0,0,,VINTURI AERATOR/TOWER SET RED 
50031,LONG TRAIL BLACK BRY WHEAT CAN,6,,32.99,0,607,21,8,,0,1,0,0,70178,LONG TRAIL BLACK BRY WHEAT CAN 24-PACK
50044,XY ZINFANDEL,0,,13.99,0,317,30,,7,0,1,0,0,,XY ZINFANDEL 750 ML
50046,ALLAN SCOTT PINOT NOIR 2010,0,,17.99,0,395,38,,7,0,1,1,0,,ALLAN SCOTT PINOT NOIR 2010 750 ML
50054,LOCKHART CABERNET ,0,2015,8.99,16,314,30,,7,0,1,0,0,,LOCKHART CABERNET  750 ML 2015
50063,SHAFER ONE POINT FIVE CAB 2012,0,,107.99,2,314,30,,7,0,1,0,0,,SHAFER ONE POINT FIVE CAB 2012 750 ML
50068,BROTHERS RIDGE CABERNET,0,,89.99,5,314,30,,7,0,1,0,0,,BROTHERS RIDGE CABERNET 750 ML
50075,LOIMER RIESLING LENZ???,0,,14.99,0,654,63,,7,0,1,0,0,,LOIMER RIESLING LENZ??? 750 ML
50110,BOB'S PINOTAGE 2013,0,,7.99,0,555,39,,7,0,1,0,0,,BOB'S PINOTAGE 2013 750 ML
50128,ROCHIOLI SAUV BLANC 2010,0,,34.99,9,324,30,,7,0,1,0,0,,ROCHIOLI SAUV BLANC 2010 750 ML
50172,ANDRETTI CHARDONNAY ,0,,11.99,0,320,30,,7,0,1,0,0,,ANDRETTI CHARDONNAY  750 ML
50173,THOMAS HENRY SONOMA CHARDONNAY,0,,9.99,10,320,30,,7,0,1,1,0,,THOMAS HENRY SONOMA CHARDONNAY 750 ML
50188,VOO DOO TIKI ANEJO ,0,,54.99,0,547,25,,7,0,1,0,0,,VOO DOO TIKI ANEJO  750 ML
50215,BEACH KITE SAUV BLANC 2014,0,,5.99,0,590,58,,7,0,1,1,0,,BEACH KITE SAUV BLANC 2014 750 ML
50217,BEACH KITE PINOT NOIR 2014,0,,5.99,0,593,58,,7,0,1,1,0,,BEACH KITE PINOT NOIR 2014 750 ML
50218,CLOS BLANCHEAU CHARDONNAY,0,,22.99,0,320,30,,7,0,1,0,0,,CLOS BLANCHEAU CHARDONNAY 750 ML
50228,IVANABITCH TOBACCO VODKA,0,,11.99,1,289,26,,7,0,1,0,0,,IVANABITCH TOBACCO VODKA 750 ML
50234,STOLICHNAYA SALTED KARAMEL,0,,26.99,4,290,26,,7,0,1,0,0,,STOLICHNAYA SALTED KARAMEL 750 ML
50235,IVANABITCH DUTCH APPLE VODKA,0,,11.99,3,290,26,,7,0,1,0,0,,IVANABITCH DUTCH APPLE VODKA 750 ML
50267,DAVIS FAMILY RR CHARDONNAY,0,,34.99,0,320,30,,7,0,1,0,0,,DAVIS FAMILY RR CHARDONNAY 750 ML
50320,GATINOIS BRUT TRADITION,0,,34.99,0,297,28,,7,0,1,0,0,,GATINOIS BRUT TRADITION 750 ML RP90
50328,BAREFOOT BUBBLY EXTRA DRY,0,,12.99,34,296,28,,7,0,1,0,0,,BAREFOOT BUBBLY EXTRA DRY 750 ML
50330,CAMPOS REALES TEMPRANILLO ,0,,6.99,0,376,34,,7,0,1,0,0,,CAMPOS REALES TEMPRANILLO  750 ML
50331,JIM BEAM DISTILLERS MASTER ,0,,249.99,4,262,18,,7,0,1,0,0,,JIM BEAM DISTILLERS MASTER  750 ML
50337,BOB'S CHENIN BLANC 2014,0,,7.99,0,555,39,,7,0,1,0,0,,BOB'S CHENIN BLANC 2014 750 ML
50339,DOUBLE DECKER RED 2010,0,,9.99,0,319,30,,7,0,1,0,0,,DOUBLE DECKER RED 2010 750 ML
50341,TORRES ALTOS IBERICOS 2011,0,,11.99,0,376,34,,7,0,1,0,0,,TORRES ALTOS IBERICOS 2011 750 ML
50343,3 BALL ZINFADEL 2012,0,,12.99,0,317,30,,7,0,1,1,0,,3 BALL ZINFADEL 2012 750 ML
50350,BUD LIGHT LIME 30PK,0,,29.99,10,538,21,9,,0,1,0,0,,BUD LIGHT LIME 30PK 30-PACK
50367,H D V BELLE COUSINE,0,,59.99,0,314,30,,7,0,1,0,0,,H D V BELLE COUSINE 750 ML
50371,FAT BASTARD SYRAH ,0,,8.99,19,347,31,,7,0,1,0,0,,FAT BASTARD SYRAH  750 ML
50409,CHAPOUT BELLE CDR ROSE,0,,16.99,42,351,31,,7,0,1,0,0,,CHAPOUT BELLE CDR ROSE 750 ML
50474,CASTELLO MONACI PRIMITIVO,0,2015,11.99,24,576,32,,7,0,1,0,0,,CASTELLO MONACI PRIMITIVO 750 ML 2015
50514,SERAFIJN CHRISTMAS ALE 750ML,0,,11.49,1,277,21,,7,0,1,0,0,,SERAFIJN CHRISTMAS ALE 750ML 750 ML
50522,WEYERBACHER BLITHER IDIOT 4PK ,6,,59.99,0,607,21,8,,0,1,0,0,100440,WEYERBACHER BLITHER IDIOT 4PK  24-PACK
50545,MIKES HARD POMEGRANITE,6,,28.99,-1,649,21,8,15,0,1,0,0,100047,MIKES HARD POMEGRANITE 12 OZ 24-PACK
50563,SEBASTIANI ALEXANDER CAB SAUV,0,,27.99,0,314,30,,7,0,1,0,0,,SEBASTIANI ALEXANDER CAB SAUV 750 ML
50571,CONTRASTE CONCIETO PORT 2007,0,,69.99,7,586,37,,7,0,1,0,0,,CONTRASTE CONCIETO PORT 2007 750 ML
50579,KULETO ESTATE NATIVE SON  2012,0,,21.99,10,319,30,,7,0,1,0,0,,KULETO ESTATE NATIVE SON  2012 750 ML
50580,PINK PEGAU 2013,0,,19.99,0,351,31,,7,0,1,0,0,,PINK PEGAU 2013 750 ML
50582,HAZANA VINAS VIEJAS RIOJA '15,0,2015,11.99,0,376,34,,7,0,1,0,0,,HAZANA VINAS VIEJAS RIOJA '15 750 ML 2015
50584,GAUJAL DE SAINT BON PICPOUL 13,0,,9.99,6,347,31,,7,0,1,0,0,,GAUJAL DE SAINT BON PICPOUL 13 750 ML
50589,MIKES LT LEMONADE 12OZ NR CS,6,,13.99,0,649,21,6,15,0,1,0,1,77562,MIKES LT LEMONADE 12OZ NR CS 12 OZ 12-PACK
50591,ROSENBLUM DESIREE 375,0,,18.99,0,319,30,,5,0,1,0,0,,ROSENBLUM DESIREE 375 375 ML
50596,CHAT CABLANC 2010,0,,11.99,0,340,31,,7,0,1,1,0,,CHAT CABLANC 2010 750 ML
50616,CAMUS ELEGANCE ,0,,399.99,0,269,20,,7,0,1,0,0,,CAMUS ELEGANCE  750 ML
50628,ESPOLON ANJEO X ,0,,99.99,2,547,25,,7,0,1,0,0,,ESPOLON ANJEO X  750 ML
50639,ALTESINO BRUNELLO 2010,0,,69.99,0,357,32,,7,0,1,0,0,,ALTESINO BRUNELLO 2010 750 ML WS96
50641,SIERRA DEL MAR CHARDONNAY,0,,12.99,11,320,30,,7,0,1,0,0,,SIERRA DEL MAR CHARDONNAY 750 ML
50643,GREEN&RED CHILES MILL ZIN '12,0,,26.99,0,317,30,,7,0,1,0,0,,GREEN&RED CHILES MILL ZIN '12 750 ML
50644,LA CARTUJA PRIORAT,0,,14.99,0,376,34,,7,0,1,0,0,,LA CARTUJA PRIORAT 750 ML
50645,MARRENON GRAND MARRENON 09,0,,17.99,0,346,31,,7,0,1,0,0,,MARRENON GRAND MARRENON 09 750 ML WE89
50646,AULTMORE 25YR OLD,0,,469.99,6,149,10,,7,0,1,0,0,,AULTMORE 25YR OLD 750 ML
50648,ANCHOR CALIFORNIA LAGER CAN 6P,0,,9.99,-1,607,21,,,0,1,0,0,,ANCHOR CALIFORNIA LAGER CAN 6P
50650,ROBERTS & ROGERS CAB LOUER '12,0,,79.99,12,314,30,,7,0,1,0,0,,ROBERTS & ROGERS CAB LOUER '12 750 ML WA95
50651,CASA MATEO PINOT NOIR,0,,9.99,5,593,58,,7,0,1,0,0,,CASA MATEO PINOT NOIR 750 ML
50665,BROCKHOUSE DRAUPNIR 16.9OZ,0,,10.99,4,277,21,,16,0,1,0,0,,BROCKHOUSE DRAUPNIR 16.9OZ 16 OZ
50668,SHIPYARD DBL  OLD THUMPER 22OZ,0,,8.99,2,607,21,,20,0,1,0,0,,SHIPYARD DBL  OLD THUMPER 22OZ 22 OZ
50670,COORS REG NR LOOSE,0,,22.99,7,538,21,8,15,0,1,0,0,,COORS REG NR LOOSE 12 OZ 24-PACK
50675,ELIO PERRONE BIGARO ROSE 2013,0,,17.99,0,369,32,,7,0,1,0,0,,ELIO PERRONE BIGARO ROSE 2013 750 ML
50676,LEINENKUGEL SUM SHANDY LOOSE,0,,31.99,-1,607,21,,,0,1,0,0,,LEINENKUGEL SUM SHANDY LOOSE [SUMMER SHANDY ]
50678,SAM ADAMS PORCH ROCKER CANS,6,,16.99,1,538,21,6,,0,1,0,1,76695,SAM ADAMS PORCH ROCKER CANS 12-PACK
50680,BROCKHOUSE ESRUM KLOSTER16.9OZ,0,,10.99,4,277,21,,16,0,1,0,0,,BROCKHOUSE ESRUM KLOSTER16.9OZ 16 OZ
50681,MIKE'S FLAVORS OF AMERICA ,6,,29.99,19,649,21,8,,0,1,0,0,70681,MIKE'S FLAVORS OF AMERICA  24-PACK
50683,SPOTTSWOODE CABERNET 2013,0,,199.99,6,314,30,,7,0,1,0,0,,SPOTTSWOODE CABERNET 2013 750 ML
50684,SAM ADAMS PORCH ROCKER 2/12PK,6,,35.99,5,538,21,8,,0,1,0,0,70684,SAM ADAMS PORCH ROCKER 2/12PK 24-PACK
50685,SAM ADAMS PORCH ROCKER 2/12PK,6,,16.99,0,538,21,6,,0,1,0,1,70684,SAM ADAMS PORCH ROCKER 2/12PK 12-PACK
50686,LUK DORE  CIDER 750  6.4%ALC,0,,9.99,6,613,21,,7,0,1,0,0,,LUK DORE  CIDER 750  6.4%ALC 750 ML
50688,CLARENDON LIANDRA SYRAH 2002,0,,69.99,2,521,33,,7,0,1,0,0,,CLARENDON LIANDRA SYRAH 2002 750 ML
50689,CLARENDON PIGGOT RANGE SHIR 02,0,,139.99,11,521,33,,7,0,1,0,0,,CLARENDON PIGGOT RANGE SHIR 02 750 ML
50691,CAYMUS SPEC SEL CABERNET 09,0,,179.99,0,314,30,,7,0,1,0,0,,CAYMUS SPEC SEL CABERNET 09 750 ML
50693,ROMA ROSSO 2013,0,,14.99,0,367,32,,7,0,1,0,0,,ROMA ROSSO 2013 750 ML
50696,MI AMORE WHITE ,0,,10.99,16,368,32,,7,0,1,0,0,,MI AMORE WHITE  750 ML
50697,ANIMO NAPA CABERNET 2010,0,,99.99,4,314,30,,7,0,1,0,0,,ANIMO NAPA CABERNET 2010 750 ML
50699,COORS LT 1/4 KEG,0,,65,4,529,21,,29,0,1,0,0,,COORS LT 1/4 KEG KEG
50700,PARKER ESTATE FIRST GROWTH 99,0,,69.99,1,371,33,,7,0,1,0,0,,PARKER ESTATE FIRST GROWTH 99 750 ML
50701,FOUNDERS PC PILS 15PK,0,,18.99,6,607,21,14,,0,1,0,0,,FOUNDERS PC PILS 15PK 15-PACK
50702,JOSEPH CARR SAUV BLANC '09,0,,19.99,0,324,30,,7,0,1,0,0,,JOSEPH CARR SAUV BLANC '09 750 ML
50705,HEGARTY LES CHARMANS #1 2005,0,,19.99,22,349,31,,7,0,1,0,0,,HEGARTY LES CHARMANS #1 2005 750 ML RP92
50706,TALISKER DISTILLERS EDIT 2000,0,,89.99,4,149,10,,7,0,1,0,0,,TALISKER DISTILLERS EDIT 2000 750 ML
50707,SANFORD CHARDONNAY ,0,2015,26.99,7,320,30,,7,0,1,0,0,,SANFORD CHARDONNAY  750 ML 2015
50710,COORS LT CHILLER BAG 36 CANS,0,,26.99,9,538,21,,15,0,1,0,0,,COORS LT CHILLER BAG 36 CANS 12 OZ
50712,VOODOO PILZILLA 22OZ,0,,5.99,2,277,21,,20,0,1,0,0,,VOODOO PILZILLA 22OZ 22 OZ
50720,CUPCAKE ORIGINAL  VODKA,0,,18.99,1,289,26,,7,0,1,0,0,,CUPCAKE ORIGINAL  VODKA 750 ML
50721,LITTLE BLACK DRESS BLUE/POMEG,0,,13.99,2,289,26,,7,0,1,0,0,,LITTLE BLACK DRESS BLUE/POMEG 750 ML
50722,LITTLE BLACK DRESS CHERRY VAN,0,,13.99,1,289,26,,7,0,1,0,0,,LITTLE BLACK DRESS CHERRY VAN 750 ML
50723,BULA MONTSANT 2010,0,,11.99,0,376,34,,7,0,1,1,0,,BULA MONTSANT 2010 750 ML
50725,JEAN MARC CROCHET ROSE 2017,0,,18.99,14,351,31,,7,0,1,0,0,,JEAN MARC CROCHET ROSE 2017 750 ML
50726,STIX ALEXANDER VALLEY CAB '14,0,,14.99,27,314,30,,7,0,1,0,0,,STIX ALEXANDER VALLEY CAB '14 750 ML
50727,GODELIA ROSE 2014,0,,12.99,0,378,34,,7,0,1,0,0,,GODELIA ROSE 2014 750 ML
50729,ANCHOR SUMMER WHEAT CAN 6PK,6,,9.99,0,607,21,3,,0,1,0,1,81154,ANCHOR SUMMER WHEAT CAN 6PK 6-PACK
50731,PITCH CABERNET SAUV ,0,2014,16.99,12,525,59,,7,0,1,0,0,,PITCH CABERNET SAUV  750 ML 2014
50732,STIX RUSSIAN RIVER CHARD  '14,0,,14.99,35,320,30,,7,0,1,0,0,,STIX RUSSIAN RIVER CHARD  '14 750 ML
50733,EFFEN GREEN APPLE ,0,,44.99,4,290,26,,10,0,1,0,0,,EFFEN GREEN APPLE  1.75 LT
50737,SANTA MARTINA PINOT GRIGIO '12,0,,6.99,0,364,32,,7,0,1,1,0,,SANTA MARTINA PINOT GRIGIO '12 750 ML
50740,MIKES HARD LIME 12OZ CASE,6,,29.99,-2,649,21,8,15,0,1,0,0,70740,MIKES HARD LIME 12OZ CASE 12 OZ 24-PACK
50741,HAPPY BITCH ROSE,0,,11.99,0,313,30,,7,0,1,0,0,,HAPPY BITCH ROSE 750 ML
50749,DEHESA GAGO,0,,14.99,0,376,34,,7,0,1,0,0,,DEHESA GAGO 750 ML
50750,BRACELET CABERNET ????,0,,12.99,0,314,30,,7,0,1,1,0,,BRACELET CABERNET ???? 750 ML
50751,AYAMA SAUV BLANC ??,0,,11.99,0,398,39,,7,0,1,1,0,,AYAMA SAUV BLANC ?? 750 ML
50752,URBAN CABERNET,0,,9.99,0,588,58,,7,0,1,1,0,,URBAN CABERNET 750 ML
