,TXNDATE,TXNID,SKU,QUANTITY
390098,2018-02-01 04:01:43,180201084607330806,71356,2.0
390099,2018-02-01 04:19:30,180201091919198006,71579,1.0
390100,2018-02-01 04:25:52,180201092525188806,70358,1.0
390101,2018-02-01 04:25:52,180201092525188806,69198,1.0
390102,2018-02-01 04:25:52,180201092525188806,72465,1.0
390103,2018-02-01 04:25:52,180201092525188806,66969,1.0
390104,2018-02-01 04:34:42,180201093404849006,66329,1.0
390105,2018-02-01 04:34:42,180201093404849006,70191,2.0
390106,2018-02-01 04:35:35,180201093517708306,71340,1.0
390107,2018-02-01 04:46:40,180201094610188106,70282,1.0
390108,2018-02-01 04:46:40,180201094610188106,65182,1.0
390109,2018-02-01 04:49:18,180201094808853206,70756,1.0
390110,2018-02-01 04:49:18,180201094808853206,71311,1.0
390111,2018-02-01 04:50:11,18020109351123006,71155,12.0
390112,2018-02-01 04:54:59,180201095449320306,62035,1.0
390113,2018-02-01 04:54:59,180201095449320306,70978,1.0
390114,2018-02-01 05:01:42,180201100114252006,65068,1.0
390115,2018-02-01 05:07:24,180201100708962106,71171,1.0
390116,2018-02-01 05:08:30,180201100747245206,70677,1.0
390117,2018-02-01 05:08:30,180201100747245206,71482,1.0
390118,2018-02-01 05:08:30,180201100747245206,69535,6.0
390119,2018-02-01 05:12:34,180201101204480606,71486,1.0
390120,2018-02-01 05:13:02,180201101254515506,71482,1.0
390121,2018-02-01 05:22:48,18020110214210406,71250,1.0
390122,2018-02-01 05:22:48,18020110214210406,69157,1.0
390123,2018-02-01 05:22:48,18020110214210406,71333,1.0
390124,2018-02-01 05:22:48,18020110214210406,71458,4.0
390125,2018-02-01 05:23:05,180201102259715506,69395,6.0
390126,2018-02-01 05:23:49,18020110232732006,57505,1.0
390127,2018-02-01 05:23:49,18020110232732006,57558,1.0
390128,2018-02-01 05:27:13,1802011026360506,69784,1.0
390129,2018-02-01 05:30:09,180201102955945806,58229,1.0
390130,2018-02-01 05:31:43,180201103127935006,71395,1.0
390131,2018-02-01 05:33:44,180201103312175006,71192,10.0
390132,2018-02-01 05:39:19,180201103906222706,70155,1.0
390133,2018-02-01 05:43:26,180201104221197506,70919,1.0
390134,2018-02-01 05:43:26,180201104221197506,69646,1.0
390135,2018-02-01 05:43:26,180201104221197506,75238,1.0
390136,2018-02-01 05:43:26,180201104221197506,70400,1.0
390137,2018-02-01 05:46:35,180201104621805806,71332,1.0
390138,2018-02-01 05:47:33,180201104703216206,69683,1.0
390139,2018-02-01 05:47:33,180201104703216206,70571,1.0
390140,2018-02-01 05:47:33,180201104703216206,70794,3.0
390141,2018-02-01 05:48:34,180201104804661506,69587,2.0
390142,2018-02-01 05:48:34,180201104804661506,71297,1.0
390143,2018-02-01 05:49:17,180201104847736506,69615,1.0
390144,2018-02-01 05:53:01,180201105251681806,71579,1.0
390145,2018-02-01 05:56:19,180201105437299306,70859,1.0
390146,2018-02-01 05:56:19,180201105437299306,71603,1.0
390147,2018-02-01 05:56:19,180201105437299306,64316,1.0
390148,2018-02-01 05:56:19,180201105437299306,73576,1.0
390149,2018-02-01 05:56:19,180201105437299306,69854,1.0
390150,2018-02-01 06:01:35,180201110024899606,69475,1.0
390151,2018-02-01 06:01:35,180201110024899606,69193,1.0
390152,2018-02-01 06:01:35,180201110024899606,50328,1.0
390153,2018-02-01 06:01:35,180201110024899606,71078,1.0
390154,2018-02-01 06:02:43,180201110210912806,71416,1.0
390155,2018-02-01 06:02:43,180201110210912806,65744,2.0
390156,2018-02-01 06:05:12,180201110456849706,64031,1.0
390157,2018-02-01 06:05:28,180201110521592806,64217,1.0
390158,2018-02-01 06:07:40,180201110648275306,71269,1.0
390159,2018-02-01 06:07:40,180201110648275306,66474,4.0
390160,2018-02-01 06:09:10,180201110812894806,70603,1.0
390161,2018-02-01 06:09:10,180201110812894806,67026,1.0
390162,2018-02-01 06:09:10,180201110812894806,67004,1.0
390163,2018-02-01 06:09:10,180201110812894806,71398,1.0
390164,2018-02-01 06:09:10,180201110812894806,64571,1.0
390165,2018-02-01 06:09:10,180201110812894806,74035,1.0
390166,2018-02-01 06:16:23,18020111143980706,71194,2.0
390167,2018-02-01 06:16:23,18020111143980706,69994,2.0
390168,2018-02-01 06:16:23,18020111143980706,67868,1.0
390169,2018-02-01 06:16:23,18020111143980706,64697,2.0
390170,2018-02-01 06:16:23,18020111143980706,72796,2.0
390171,2018-02-01 06:16:23,18020111143980706,74859,1.0
390172,2018-02-01 06:17:12,180201111634710406,65977,1.0
390173,2018-02-01 06:17:12,180201111634710406,69007,1.0
390174,2018-02-01 06:17:12,180201111634710406,70397,1.0
390175,2018-02-01 06:17:12,180201111634710406,71598,1.0
390176,2018-02-01 06:17:12,180201111634710406,71552,1.0
390177,2018-02-01 06:18:40,180201111836359006,71104,1.0
390178,2018-02-01 06:27:24,180201112550488406,71002,1.0
390179,2018-02-01 06:27:24,180201112550488406,71590,2.0
390180,2018-02-01 06:27:24,180201112550488406,70833,15.0
390181,2018-02-01 06:27:24,180201112550488406,66784,2.0
390182,2018-02-01 06:27:24,180201112550488406,71247,1.0
390183,2018-02-01 06:27:24,180201112550488406,71108,1.0
390184,2018-02-01 06:27:24,180201112550488406,70676,1.0
390185,2018-02-01 06:28:30,180201112817840106,71111,1.0
390186,2018-02-01 06:29:13,180201112906204506,70913,1.0
390187,2018-02-01 06:36:24,180201113521987106,66121,2.0
390188,2018-02-01 06:36:24,180201113521987106,66067,1.0
390189,2018-02-01 06:36:24,180201113521987106,70268,1.0
390190,2018-02-01 06:36:24,180201113521987106,63162,3.0
390191,2018-02-01 06:38:00,180201113718449406,71325,1.0
390192,2018-02-01 06:38:00,180201113718449406,71269,1.0
390193,2018-02-01 06:38:00,180201113718449406,66394,1.0
390194,2018-02-01 06:40:59,180201113938339306,71565,1.0
390195,2018-02-01 06:40:59,180201113938339306,71097,1.0
390196,2018-02-01 06:40:59,180201113938339306,71525,1.0
390197,2018-02-01 06:40:59,180201113938339306,70564,1.0
390198,2018-02-01 06:43:17,180201114302437106,70575,6.0
390199,2018-02-01 06:43:59,180201114345804306,66089,1.0
390200,2018-02-01 06:44:17,180201114406700106,71518,1.0
390201,2018-02-01 06:44:17,180201114406700106,70550,1.0
390202,2018-02-01 06:45:25,180201114444925706,71416,2.0
390203,2018-02-01 06:45:25,180201114444925706,69471,2.0
390204,2018-02-01 06:45:59,180201114535178406,68470,1.0
390205,2018-02-01 06:45:59,180201114535178406,69663,1.0
390206,2018-02-01 06:46:35,180201114610936506,69462,1.0
390207,2018-02-01 06:48:10,180201114701538606,65690,1.0
390208,2018-02-01 06:48:10,180201114701538606,69324,1.0
390209,2018-02-01 06:48:10,180201114701538606,66626,1.0
390210,2018-02-01 06:48:10,180201114701538606,70946,1.0
390211,2018-02-01 06:48:10,180201114701538606,69389,1.0
390212,2018-02-01 06:48:10,180201114701538606,73034,1.0
390213,2018-02-01 06:48:10,180201114701538606,71655,2.0
390214,2018-02-01 06:49:49,180201114856952206,71540,1.0
390215,2018-02-01 06:49:49,180201114856952206,70455,2.0
390216,2018-02-01 06:49:49,180201114856952206,70902,1.0
390217,2018-02-01 06:49:49,180201114856952206,70754,1.0
390218,2018-02-01 06:50:32,180201115007790006,65079,1.0
390219,2018-02-01 06:51:45,180201115051200206,71538,3.0
390220,2018-02-01 06:51:45,180201115051200206,70877,2.0
390221,2018-02-01 06:51:45,180201115051200206,70302,1.0
390222,2018-02-01 06:51:45,180201115051200206,70657,1.0
390223,2018-02-01 06:52:07,180201115146883206,64345,1.0
390224,2018-02-01 06:52:07,180201115146883206,69894,1.0
390225,2018-02-01 06:52:41,180201115236494806,70674,1.0
390226,2018-02-01 06:53:08,180201115303311606,71066,1.0
390227,2018-02-01 06:53:40,180201115318279106,63859,1.0
390228,2018-02-01 06:53:40,180201115318279106,70572,1.0
390229,2018-02-01 06:54:28,180201115356349106,71344,6.0
390230,2018-02-01 06:56:05,180201115514964106,69399,1.0
390231,2018-02-01 06:56:05,180201115514964106,64353,1.0
390232,2018-02-01 06:56:05,180201115514964106,71323,5.0
390233,2018-02-01 06:58:00,180201115713681706,71343,1.0
390234,2018-02-01 06:58:00,180201115713681706,70677,1.0
390235,2018-02-01 06:58:00,180201115713681706,70202,1.0
390236,2018-02-01 06:58:41,180201115812429006,70994,1.0
390237,2018-02-01 06:59:12,180201115847121206,71643,1.0
390238,2018-02-01 06:59:12,180201115847121206,70398,1.0
390239,2018-02-01 06:59:34,180201115922989006,71161,2.0
390240,2018-02-01 07:00:08,180201115950596306,69646,1.0
390241,2018-02-01 07:01:22,180201120032740206,66578,1.0
