SKU,COST,MARGIN,QUANTITY
50234,20.84,0.22786217117450905,1.0
50328,9.01,0.09809809809809814,5.0
50371,6.03,0.3292547274749722,2.0
50409,9.34,0.15013648771610558,2.0
50474,9.0,0.09909909909909913,3.0
50641,8.0,0.3327773144286906,5.0
50651,6.489999999999999,0.18773466833541927,3.0
50670,19.0,0.049524762381190524,5.0
50696,8.21,0.25295723384895363,2.0
50705,15.42,0.09133765468473772,1.0
50706,71.0,0.02726400876832436,2.0
50725,13.33,0.0,1.0
50731,12.0,0.24658486063629162,5.0
50765,21.0,0.15966386554621845,1.0
50780,8.03,0.10678531701890999,1.0
50948,1.59,0.4682274247491639,2.0
51132,7.0,0.1755005889281508,2.0
51921,7.25,0.255156104471173,2.0
52361,10.36,0.15811794425006803,2.0
52376,5.99,0.40040040040040037,1.0
52478,3.71,0.25651302605210424,5.0
52488,7.25,0.23391133068552428,2.0
52794,8.25,0.24140807212408352,5.0
52874,6.25,0.21777221526908638,1.0
53215,6.67,0.2580645161290323,3.0
53367,76.0,0.19991578060848506,2.0
53395,12.5,0.2642731018246026,1.0
53402,35.553333333333335,0.19858456967572038,9.0
53413,78.43,0.2156215621562155,1.0
53441,24.0,0.1997332444148049,2.0
53524,1.38,0.30653266331658297,1.0
53713,27.5,0.21406116033152334,2.0
53768,38.0,0.049762440610152586,1.0
53794,7.0,0.2623814541622761,3.0
53815,14.39,0.15303119482048252,1.0
53834,14.84,0.2185360716166403,2.0
53890,18.0,0.1814461118690313,1.0
53902,29.75,0.008002667555851899,1.0
54057,9.61,0.1984987489574646,2.0
54157,18.75,0.1511996378451788,6.0
54429,12.0,0.19946631087391595,2.0
54730,18.34,0.26610644257703076,1.0
54779,9.59,0.20016680567139286,2.0
54800,7.6899999999999995,0.21076925186514228,2.0
54812,6.28,0.3014460511679644,1.0
54851,6.67,0.33233233233233234,1.0
54936,16.7,0.07170650361311835,1.0
55099,49.0,0.01980396079215847,1.0
55655,7.68,0.23123123123123127,1.0
55667,11.92,0.20480320213475653,1.0
