,TXNDATE,TXNID,SKU,QUANTITY
359124,2018-01-02 04:04:25,180102090351687406,71603,6.0
359125,2018-01-02 04:08:26,180102090752564606,70566,1.0
359126,2018-01-02 04:08:26,180102090752564606,71048,1.0
359127,2018-01-02 04:10:41,180102091012139106,71535,1.0
359128,2018-01-02 04:16:24,180102091613790706,71395,1.0
359129,2018-01-02 04:17:00,180102091638995406,71528,1.0
359130,2018-01-02 04:22:23,180102092201521106,70672,1.0
359131,2018-01-02 04:23:21,180102092301299806,56435,2.0
359132,2018-01-02 04:23:32,180102092324628106,56435,2.0
359133,2018-01-02 04:25:26,180102092515696306,70770,1.0
359134,2018-01-02 04:25:55,180102092530518106,71340,1.0
359135,2018-01-02 04:28:41,180102092823854706,69325,1.0
359136,2018-01-02 04:29:38,18010209285093706,68878,1.0
359137,2018-01-02 04:29:38,18010209285093706,67906,1.0
359138,2018-01-02 04:32:11,180102093111704006,71099,1.0
359139,2018-01-02 04:33:24,180102093304234506,71604,6.0
359140,2018-01-02 04:47:13,180102094650359406,68936,1.0
359141,2018-01-02 04:47:13,180102094650359406,70908,1.0
359142,2018-01-02 05:01:05,180102100027521106,70007,8.0
359143,2018-01-02 05:01:05,180102100027521106,61387,1.0
359144,2018-01-02 05:01:05,180102100027521106,67559,1.0
359145,2018-01-02 05:01:05,180102100027521106,67410,2.0
359146,2018-01-02 05:05:49,180102100506456006,69614,1.0
359147,2018-01-02 05:05:49,180102100506456006,70398,1.0
359148,2018-01-02 05:09:49,180102100928469006,71360,1.0
359149,2018-01-02 05:10:38,180102101002993606,70331,2.0
359150,2018-01-02 05:11:12,180102101054143106,71502,1.0
359151,2018-01-02 05:16:08,180102101514373406,59504,1.0
359152,2018-01-02 05:16:08,180102101514373406,70325,1.0
359153,2018-01-02 05:16:08,180102101514373406,71156,6.0
359154,2018-01-02 05:16:08,180102101514373406,71341,1.0
359155,2018-01-02 05:17:05,180102101621444006,70190,2.0
359156,2018-01-02 05:23:00,180102102228191406,71288,1.0
359157,2018-01-02 05:23:00,180102102228191406,71598,5.0
359158,2018-01-02 05:23:48,180102102308420006,70064,2.0
359159,2018-01-02 05:23:48,180102102308420006,69398,1.0
